"cod";"Materia";"cuat inicio";"cuat fin";"fecha inicio";"fecha fin";"comision";"Profesor"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Vilaboa, Ivan Gonzalo"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Rancan, Claudio Jorge"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Viaro, Leandro Juan"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Hannemann, Ricardo E."
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Lezama, Juan Marcelo"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Vilaboa, Ivan Gonzalo"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Rancan, Claudio Jorge"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Viaro, Leandro Juan"
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Hannemann, Ricardo E."
"11.89";"Formulación y Evaluación de Proyectos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Lezama, Juan Marcelo"
"81.06";"Introducción a la Administración";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bordoy, Gabriela Veronica"
"81.06";"Introducción a la Administración";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Vidaguren, Juan Cornelio"
"93.75";"Métodos Numéricos Avanzados";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Álvarez, Adrián Omar"
"93.75";"Métodos Numéricos Avanzados";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Schmidberg, Pablo Esteban"
"30.06";"Motores de Combustión Interna";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Zubiri, Juan Ignacio"
"30.06";"Motores de Combustión Interna";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Celani, Vicente Fidel"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bursky, Jorge Cesar Carlos"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bus, Ana Gabriela"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Bursky, Jorge Cesar Carlos"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Bus, Ana Gabriela"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Vilaboa, Ivan Gonzalo"
"11.77";"Estadística Aplicada I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Bus, Ana Gabriela"
"93.51";"Mecánica General";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MNP";"Rinaldi, Miguel Angel"
"93.51";"Mecánica General";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MNP";"Delellis, Roberto Daniel"
"93.51";"Mecánica General";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Rinaldi, Miguel Angel"
"93.51";"Mecánica General";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Ratto, Jorge Oscar"
"22.06";"Introducción a la Computación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Ingles";"Figueyra, Diego Fernando"
"22.06";"Introducción a la Computación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Ingles";"Rodríguez, Andrés Carlos"
"71.57";"Introducción a la Programación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MN";"Fortunatti, Nelson Ariel"
"71.57";"Introducción a la Programación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MN";"De Armas, Adrián"
"71.57";"Introducción a la Programación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MN";"Polano, Francisco José"
"41.15";"Gas y Gasolina Natural";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Casares, Carlos Alberto Maria"
"41.15";"Gas y Gasolina Natural";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"de la Zerda, María Agustina"
"71.45";"Estructura de Datos y Programación";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Delgado Bolivar, Ninfa Esperanza"
"41.27";"Producción de Petróleo";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Gonzalez, Dario Javier"
"41.27";"Producción de Petróleo";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Shiratori, Julio Alfredo"
"41.03";"Perforación Petrolera I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Piagentini, Horacio Mauricio"
"41.03";"Perforación Petrolera I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"P";"Ghidina, Daniel Elio"
"61.04";"Sistema Monetario y Financiero en Argentina";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Orlando, Valeria Alejandra"
"72.25";"Simulación de Sistemas";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Patterson, Germán Agustín"
"72.25";"Simulación de Sistemas";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Parisi, Daniel Ricardo"
"61.28";"Economía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Abayu, Jorge Alejandro"
"61.28";"Economía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Orlando, Valeria Alejandra"
"61.28";"Economía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Abayu, Jorge Alejandro"
"61.28";"Economía";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Orlando, Valeria Alejandra"
"12.33";"Química Orgánica II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Errea, Maria Ines"
"12.33";"Química Orgánica II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Teme Centurion, Osvaldo Miguel"
"12.33";"Química Orgánica II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Rossi, Ezequiel"
"12.33";"Química Orgánica II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Tasqué, Joana Elisa"
"72.37";"Base de Datos I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Gomez, Leticia Irene"
"72.37";"Base de Datos I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Rodriguez Babino, Cecilia"
"81.61";"Modelado Avanzado de Procesos e Inteligencia de Negocios";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Moon, Jae Suk Tonny"
"81.61";"Modelado Avanzado de Procesos e Inteligencia de Negocios";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Guevara, Diego"
"31.30";"Materiales Poliméricos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Botana, Adrián Franscisco"
"31.30";"Materiales Poliméricos";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Figueyra, Javier Héctor"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Cazado, Mauricio Exequiel"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"De Bernardez, Leopoldo"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"LONARDI FRANCISCO, FRANCISCO"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Cazado, Mauricio Exequiel"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"De Bernardez, Leopoldo"
"10.04";"Plantas Industriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"LONARDI FRANCISCO, FRANCISCO"
"31.66";"Hidráulica, Neumática y PLC";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Fortunatti, Nelson Ariel"
"31.66";"Hidráulica, Neumática y PLC";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Leslabay, Pablo Enrique"
"31.66";"Hidráulica, Neumática y PLC";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"M";"Bonadeo, Claudio"
"16.12";"Biomateriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BIO";"Bonini, María Ursula"
"16.12";"Biomateriales";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"BIO";"Suares Segura, Ana Laura"
"22.99";"Lab. de Microprocesadores";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Jacoby, Daniel Andres"
"22.99";"Lab. de Microprocesadores";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Magliola, Nicolas"
"71.22";"Sistemas de Inteligencia Artificial";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Riccillo, Marcela Leticia"
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bursky, Jorge Cesar Carlos"
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"De Zan, Arturo T."
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Bus, Ana Gabriela"
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Bursky, Jorge Cesar Carlos"
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"De Zan, Arturo T."
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Bus, Ana Gabriela"
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"De Zan, Arturo T."
"11.78";"Estadística Aplicada II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Bus, Ana Gabriela"
"22.07";"Programación I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Magliola, Nicolas"
"22.07";"Programación I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Jacoby, Daniel Andres"
"12.90";"Proyecto de Plantas  (Anual)";"Segundo Cuat. 2020";"Primer Cuat. 2021";"25/07/20";"23/07/21";"Q";"Zabala , Julio Martín"
"12.90";"Proyecto de Plantas  (Anual)";"Segundo Cuat. 2020";"Primer Cuat. 2021";"25/07/20";"23/07/21";"Q";"Carp, Ariel"
"12.90";"Proyecto de Plantas  (Anual)";"Segundo Cuat. 2020";"Primer Cuat. 2021";"25/07/20";"23/07/21";"Q";"Conde, Mariano Carlos"
"72.38";"Proyecto de Aplicaciones Web";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Sotuyo Dodero, Juan Martin"
"72.38";"Proyecto de Aplicaciones Web";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Crespo, Alvaro Andrés"
"12.10";"Introducción a la Ingeniería Química";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Aude Luppi, Vergenie Edith"
"12.10";"Introducción a la Ingeniería Química";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"Q";"Maffi, Juan Martín"
"81.60";"Sistemas Integrados de Gestión en la Industria de Servicios";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Osinski, Jorge Alejandro"
"31.65";"Procesos de Manufactura II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MIQ";"Rodríguez, Aníbal Adrián"
"31.65";"Procesos de Manufactura II";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"MIQ";"Fernandez, Maria Josefina"
"81.08";"Aplicación de las Telecomunicaciones";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"L";"Marino, Gustavo Adrian"
"81.08";"Aplicación de las Telecomunicaciones";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"L";"Restuccia, Alejandro"
"16.01";"Biología Molecular y Celular";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Puente, Vanesa Rocío"
"16.01";"Biología Molecular y Celular";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Baidanoff, Fernando Martín"
"16.01";"Biología Molecular y Celular";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Esposito, Giuliana"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Fernández Arancibia, Sol María"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Marmora, Jessica Yamila"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Perotti, Marcelo Gustavo"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Delellis, Roberto Daniel"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Gigli, Miriam Laura"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Carnovale, Elsa Beatriz"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Carnovale, Elsa Beatriz"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"D";"Diaz, Alejandro Raul"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Di Lorenzo, Francisco Javier"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Delellis, Roberto Daniel"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Carnovale, Elsa Beatriz"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"E";"Marmora, Jessica Yamila"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Di Lorenzo, Francisco Javier"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Delellis, Roberto Daniel"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Gigli, Miriam Laura"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"F";"Marmora, Jessica Yamila"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Carnovale, Elsa Beatriz"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"K";"Medus, Andrés Daniel"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Di Lorenzo, Francisco Javier"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Gigli, Miriam Laura"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Lopez, Daniel Marcelo"
"93.41";"Física I";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"S";"Diaz, Alejandro Raul"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Mujica, Marcelo Mariano"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"Agaliotis, Eliana Mabel"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"A";"De Bernardez, Leopoldo"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Mujica, Marcelo Mariano"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"B";"Santiago Vasquez, Daniel Alberto"
"11.75";"Tecnologías y Procesos de Producción";"Segundo Cuat. 2020";"";"25/07/20";"31/12/20";"C";"Agaliotis, Eliana Mabel"
